1世代目
0.0 0.0	0.6691857767337732 0.0
0.0 0.0	0.9368600874272828 26.0
0.13669381945983825 5.0	0.9368600874272828 26.0
0.0 0.0	0.9703193762639715 27.0
0.9703193762639711 0.0	0.9703193762639715 27.0
0.0 0.0	0.7695636432438393 28.0
1.0442232575669759 0.0	0.7361043544071506 28.0
0.4736776493945276 0.0	0.9368600874272828 28.0
0.0 0.0	0.8699415097539054 28.0
0.0 0.0	0.8364822209172167 28.0
0.08921674524550814 0.0	0.7695636432438393 28.0
0.13446485721631052 0.0	0.7361043544071506 28.0
0.0 0.0	0.9034007985905941 28.0
0.0 0.0	0.7361043544071506 28.0
0.0 0.0	0.7026450655704619 28.0
0.05645762098153856 29.0	0.9499116845741621 28.0
0.37849134495290016 0.0	0.8699415097539054 28.0
0.0 0.0	0.7695636432438393 29.0
0.0 0.0	0.20075573302013197 29.0
0.18561477457226638 0.0	0.9703193762639715 29.0
0.0 0.0	1.1301703664616236 29.0
0.5497218419983309 3.0	0.7695636432438393 29.0
0.9703193762639711 0.0	0.6955679837531128 29.0
0.0 0.0	0.9703193762639715 29.0
0.9703193762639711 0.0	0.5688079102237071 29.0
0.0 0.0	0.9368600874272828 29.0
0.0 0.0	0.6022671990603958 29.0
0.13669381945983825 0.0	0.8699415097539054 29.0
0.0 0.0	0.7695636432438393 29.0
0.0 17.0	0.9034007985905941 30.0
2世代目
0.9703193762639711 0.0	0.6945418456577233 26.0
0.12862262876125485 0.0	0.9034007985905941 26.0
0.0 0.0	0.9538333069808269 26.0
0.0 0.0	0.7695636432438393 29.0
0.9703193762639711 25.0	0.8699415097539054 29.0
0.0 0.0	0.9703193762639715 26.0
0.0 29.0	0.7026450655704619 26.0
0.0 1.0	0.9703193762639715 26.0
0.9703193762639711 0.0	0.9368600874272828 26.0
0.0 0.0	0.6691857767337732 26.0
0.13446485721631052 0.0	0.9703193762639715 26.0
1.0442232575669759 0.0	0.9703193762639715 26.0
0.37849134495290016 0.0	0.7463324303210602 26.0
0.9703193762639711 0.0	0.8699415097539054 26.0
1.0442232575669759 0.0	1.2098933429873788 26.0
0.5497218419983309 0.0	0.9703193762639715 26.0
0.9703193762639711 1.0	0.7361043544071506 26.0
0.9703193762639711 0.0	1.1301703664616236 26.0
1.0442232575669759 0.0	0.8699415097539054 23.0
0.0 0.0	0.9703193762639715 29.0
0.9703193762639711 0.0	0.9118312104117285 30.0
0.37849134495290016 1.0	1.1301703664616236 26.0
0.0 25.0	0.9703193762639715 26.0
0.14595829989716025 0.0	0.9703193762639715 29.0
0.9703193762639711 25.0	0.8699415097539054 26.0
0.0 0.0	0.9703193762639715 26.0
0.9703193762639711 0.0	0.7695636432438393 26.0
0.5497218419983309 0.0	0.6955679837531128 26.0
0.5497218419983309 0.0	0.9703193762639715 26.0
0.5637047012968424 0.0	0.5688079102237071 26.0
3世代目
1.0442232575669759 17.0	0.9703193762639715 18.0
0.9703193762639711 0.0	0.9703193762639715 18.0
0.9703193762639711 0.0	0.9703193762639715 18.0
0.9703193762639711 0.0	0.9703193762639715 18.0
0.9703193762639711 17.0	0.9703193762639715 18.0
1.0442232575669759 0.0	1.2098933429873788 27.0
1.0442232575669759 0.0	1.1301703664616236 18.0
1.0442232575669759 0.0	0.9703193762639715 27.0
1.0442232575669759 17.0	1.378677160740677 18.0
0.9703193762639711 0.0	0.9703193762639715 18.0
0.37849134495290016 0.0	0.9207513583867258 27.0
0.4184302555384626 27.0	0.9703193762639715 27.0
1.2068906114719609 0.0	0.9703193762639715 18.0
0.9703193762639711 17.0	1.1301703664616236 18.0
1.0442232575669759 27.0	1.2098933429873788 30.0
0.9703193762639711 0.0	1.2098933429873788 27.0
0.9703193762639711 17.0	0.9703193762639715 18.0
0.9703193762639711 17.0	0.5688079102237071 30.0
0.9703193762639711 27.0	0.9703193762639715 18.0
1.0442232575669759 0.0	0.9703193762639715 27.0
